series,number_of_months,annualized_return,annualized_volatility,annualized_sharpe,maximum_drawdown,subperiod
CRSP S&P 500 Equal Weighted,60.0,0.1003816140057292,0.1276710252679233,0.73840729887078,-0.1416391819561601,2015-2019 Pre-COVID
CRSP S&P 500 Value Weighted,60.0,0.11693796893396935,0.1195588475679782,0.9065327637577947,-0.13612116995026913,2015-2019 Pre-COVID
Quality Baseline (Top 20% Equal Weight),60.0,0.10304487472661239,0.13514858728274037,0.7228847586102491,-0.15117128981160255,2015-2019 Pre-COVID
Quality Robustness Winner (Top 10% Inverse Volatility),60.0,0.11698077159052422,0.12827532278236634,0.8541552040577041,-0.12969315756250255,2015-2019 Pre-COVID
Ridge ML (Top 20% Equal Weight),60.0,0.0950461683648427,0.10637879914683243,0.8175251446654122,-0.10327231425530004,2015-2019 Pre-COVID
Six-Factor Baseline (Top 20% Equal Weight),60.0,0.09316378361614808,0.11062084891686985,0.7740358938036997,-0.12674777358626277,2015-2019 Pre-COVID
XGBoost ML (Top 20% Equal Weight),60.0,0.07060406980708023,0.1429462906763107,0.48057713054801915,-0.17769225422386403,2015-2019 Pre-COVID
CRSP S&P 500 Equal Weighted,36.0,0.08900778969350198,0.2355922154791844,0.4520541008779838,-0.27468708449585033,2020-2022 Stress Period
CRSP S&P 500 Value Weighted,36.0,0.0783573489646967,0.2115398979296926,0.4301443525810786,-0.23670511272957306,2020-2022 Stress Period
Quality Baseline (Top 20% Equal Weight),36.0,0.14227717332178402,0.23566796796381717,0.6540660575126993,-0.25204046917660705,2020-2022 Stress Period
Quality Robustness Winner (Top 10% Inverse Volatility),36.0,0.1459529904885406,0.21165059228678543,0.7178165889400883,-0.19654849264311547,2020-2022 Stress Period
Ridge ML (Top 20% Equal Weight),36.0,0.09711676193816521,0.21396208410310058,0.5097460372256967,-0.23463036003790627,2020-2022 Stress Period
Six-Factor Baseline (Top 20% Equal Weight),36.0,0.08749758601963764,0.23202023729188057,0.4505015531847393,-0.29604867209461083,2020-2022 Stress Period
XGBoost ML (Top 20% Equal Weight),36.0,0.0861379621744236,0.2695364089654711,0.41590846369131507,-0.30982577617384666,2020-2022 Stress Period
CRSP S&P 500 Equal Weighted,36.0,0.13299620115981603,0.13819347752136354,0.6344306051709673,-0.11719686958408271,2023-2025 Recent Period
CRSP S&P 500 Value Weighted,36.0,0.2337805508019204,0.12014715542196776,1.4307844904284124,-0.08198646857998326,2023-2025 Recent Period
Quality Baseline (Top 20% Equal Weight),36.0,0.1451990616568828,0.13249727621343826,0.738312662752528,-0.10805007826032409,2023-2025 Recent Period
Quality Robustness Winner (Top 10% Inverse Volatility),36.0,0.13062996043254405,0.12789884419528463,0.659536337517028,-0.09488442493836524,2023-2025 Recent Period
Ridge ML (Top 20% Equal Weight),36.0,0.1052207249037247,0.14107731253593758,0.446936029845124,-0.11645696053701438,2023-2025 Recent Period
Six-Factor Baseline (Top 20% Equal Weight),36.0,0.10226493068386544,0.1333965939412396,0.4447486791021634,-0.10821895375748247,2023-2025 Recent Period
XGBoost ML (Top 20% Equal Weight),36.0,0.11320086843418609,0.16361135548229705,0.448974613254767,-0.15217022069533892,2023-2025 Recent Period
